INFO:root:Start SimCLR training for 100 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0	Loss: 6.2232584953308105	Top1 accuracy: 2.734375
DEBUG:root:Epoch: 1	Loss: 5.898929595947266	Top1 accuracy: 6.4453125
DEBUG:root:Epoch: 2	Loss: 5.618926048278809	Top1 accuracy: 10.7421875
DEBUG:root:Epoch: 3	Loss: 5.4013671875	Top1 accuracy: 12.20703125
DEBUG:root:Epoch: 4	Loss: 5.147857666015625	Top1 accuracy: 17.3828125
DEBUG:root:Epoch: 5	Loss: 5.142445087432861	Top1 accuracy: 14.2578125
DEBUG:root:Epoch: 6	Loss: 5.165126323699951	Top1 accuracy: 17.48046875
DEBUG:root:Epoch: 7	Loss: 4.882989883422852	Top1 accuracy: 17.578125
DEBUG:root:Epoch: 8	Loss: 4.6660380363464355	Top1 accuracy: 20.99609375
DEBUG:root:Epoch: 9	Loss: 4.662947177886963	Top1 accuracy: 24.609375
DEBUG:root:Epoch: 10	Loss: 4.493025302886963	Top1 accuracy: 22.94921875
DEBUG:root:Epoch: 11	Loss: 4.1881513595581055	Top1 accuracy: 30.859375
DEBUG:root:Epoch: 12	Loss: 4.312142372131348	Top1 accuracy: 27.734375
DEBUG:root:Epoch: 13	Loss: 4.40646505355835	Top1 accuracy: 24.609375
DEBUG:root:Epoch: 14	Loss: 4.325247287750244	Top1 accuracy: 27.05078125
DEBUG:root:Epoch: 15	Loss: 4.231091022491455	Top1 accuracy: 27.9296875
DEBUG:root:Epoch: 16	Loss: 4.021937847137451	Top1 accuracy: 31.4453125
DEBUG:root:Epoch: 17	Loss: 4.2236738204956055	Top1 accuracy: 29.1015625
DEBUG:root:Epoch: 18	Loss: 4.074927806854248	Top1 accuracy: 30.17578125
DEBUG:root:Epoch: 19	Loss: 3.717566967010498	Top1 accuracy: 31.640625
DEBUG:root:Epoch: 20	Loss: 3.8622238636016846	Top1 accuracy: 32.32421875
DEBUG:root:Epoch: 21	Loss: 3.9171814918518066	Top1 accuracy: 31.640625
DEBUG:root:Epoch: 22	Loss: 3.7803592681884766	Top1 accuracy: 33.88671875
DEBUG:root:Epoch: 23	Loss: 3.912029504776001	Top1 accuracy: 34.66796875
DEBUG:root:Epoch: 24	Loss: 3.935711145401001	Top1 accuracy: 30.56640625
DEBUG:root:Epoch: 25	Loss: 3.730897903442383	Top1 accuracy: 36.71875
